date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,22,static,2.05777,1.8694556
2007-08-02,core,22,static,2.6701517,2.5343187
2007-08-03,core,22,static,1.363984,1.4476163
2007-08-06,core,22,static,1.2901113,1.3130413
2007-08-07,core,22,static,1.1834062,1.3579602
2007-08-08,core,22,static,0.9152647,1.1609529
2007-08-09,core,22,static,1.280956,1.1109648
2007-08-10,core,22,static,1.2562598,1.3610542
2007-08-13,core,22,static,1.3104532,1.2371304
2007-08-14,core,22,static,1.4153055,1.567098
2007-08-16,core,22,static,2.237005,2.3382585
2007-08-17,core,22,static,2.4822638,2.346541
2007-08-20,core,22,static,1.287377,1.6059158
2007-08-21,core,22,static,1.8663054,1.5368073
2007-08-22,core,22,static,1.1827067,1.5494888
2007-08-23,core,22,static,0.99989235,1.0469569
2007-08-24,core,22,static,1.2254853,1.124167
2007-08-27,core,22,static,0.90142137,1.0519836
2007-08-28,core,22,static,1.2708368,1.0349793
2007-08-29,core,22,static,1.4099318,1.6304047
2007-08-30,core,22,static,1.1340998,1.2185512
2007-08-31,core,22,static,1.1562414,0.9756002
2007-09-03,core,22,static,1.1932604,0.8550689
2007-09-04,core,22,static,1.01928,1.1267056
2007-09-05,core,22,static,1.2170386,1.1376011
2007-09-06,core,22,static,1.2430456,1.2219744
2007-09-07,core,22,static,1.1114899,1.141058
2007-09-10,core,22,static,1.3573148,1.2146618
2007-09-11,core,22,static,1.0158844,1.1578748
2007-09-12,core,22,static,1.1811479,1.2525878
2007-09-13,core,22,static,1.7420055,1.2204528
2007-09-14,core,22,static,0.93704087,1.0006704
2007-09-17,core,22,static,1.0048081,0.91932136
2007-09-18,core,22,static,1.0260617,1.0948398
2007-09-19,core,22,static,0.8076436,0.71939725
2007-09-20,core,22,static,1.1965716,0.9230956
2007-09-21,core,22,static,0.8722111,0.79450774
2007-09-27,core,22,static,0.7664867,0.7327927
2007-09-28,core,22,static,0.8080792,0.64397836
2007-10-01,core,22,static,0.55029327,0.61800176
2007-10-02,core,22,static,0.73205364,0.59019774
2007-10-04,core,22,static,0.8805932,0.78871495
2007-10-05,core,22,static,0.95414627,0.7329809
2007-10-08,core,22,static,0.7031264,0.6145367
2007-10-09,core,22,static,0.8863164,0.68759483
2007-10-10,core,22,static,0.71955174,0.57901484
2007-10-11,core,22,static,0.9430567,0.7343598
2007-10-12,core,22,static,1.0431364,0.97562116
2007-10-15,core,22,static,1.0965738,0.9303283
2007-10-16,core,22,static,1.2687054,1.0506554
2007-10-17,core,22,static,2.190527,1.6286168
2007-10-18,core,22,static,1.457985,1.1554152
2007-10-19,core,22,static,1.4555875,1.2399648
2007-10-22,core,22,static,1.6968491,1.3142163
2007-10-23,core,22,static,1.1384182,1.4016869
2007-10-24,core,22,static,2.0703144,2.0189755
2007-10-25,core,22,static,1.6585242,1.279324
2007-10-26,core,22,static,1.4482919,1.3892932
2007-10-29,core,22,static,1.0666195,1.114105
2007-10-30,core,22,static,1.2415206,1.2347958
2007-10-31,core,22,static,1.0872763,1.0352982
2007-11-01,core,22,static,1.2955594,1.2214204
2007-11-02,core,22,static,1.2118694,1.1383144
2007-11-05,core,22,static,1.3327944,1.1655499
2007-11-06,core,22,static,0.8215985,0.9572663
2007-11-07,core,22,static,1.1780224,1.0921191
2007-11-08,core,22,static,1.5529814,1.3361058
2007-11-09,core,22,static,1.9720455,1.4932573
2007-11-12,core,22,static,1.654565,1.5617526
2007-11-13,core,22,static,1.8451928,1.7345665
2007-11-14,core,22,static,1.0495719,1.1413734
2007-11-15,core,22,static,1.4030455,1.4680675
2007-11-16,core,22,static,1.318906,1.3962984
2007-11-19,core,22,static,1.3881841,1.3525776
2007-11-20,core,22,static,1.5132523,1.659985
2007-11-21,core,22,static,1.9621775,1.7130023
2007-11-22,core,22,static,2.1563525,1.9156494
2007-11-23,core,22,static,2.3852265,2.1395216
2007-11-26,core,22,static,1.2843764,1.7526445
2007-11-27,core,22,static,2.5158398,2.1932492
2007-11-28,core,22,static,1.972666,1.9525928
2007-11-29,core,22,static,1.0736676,1.3655694
2007-11-30,core,22,static,1.0982945,1.164804
2007-12-03,core,22,static,1.1432711,1.2662191
2007-12-04,core,22,static,1.0152545,1.0478812
2007-12-05,core,22,static,0.946601,1.1165196
2007-12-06,core,22,static,0.9068366,0.8942321
2007-12-07,core,22,static,1.0303735,1.0852643
2007-12-10,core,22,static,1.1731564,1.0050029
2007-12-11,core,22,static,1.1103985,0.87896377
2007-12-12,core,22,static,1.0512801,1.0691249
2007-12-13,core,22,static,1.5374365,1.2373316
2007-12-14,core,22,static,1.1925555,1.2948442
2007-12-17,core,22,static,1.236179,1.2936001
2007-12-18,core,22,static,1.4378381,1.6601591
2007-12-20,core,22,static,1.6452428,1.4861994
2007-12-21,core,22,static,1.4536052,1.3472369
2007-12-24,core,22,static,0.9410586,0.99071926
2007-12-26,core,22,static,1.0318445,1.118952
2007-12-27,core,22,static,0.86023796,1.026534
2007-12-28,core,22,static,0.87665683,0.93242806
2008-01-02,core,22,static,1.0612322,1.1568635
2008-01-03,core,22,static,1.334792,1.1833835
2008-01-04,core,22,static,1.251795,1.1851447
2008-01-07,core,22,static,0.9978981,1.0181412
2008-01-08,core,22,static,1.0890847,0.93705875
2008-01-09,core,22,static,1.0940617,1.1877574
2008-01-10,core,22,static,1.2355698,1.1812823
2008-01-11,core,22,static,1.3557851,1.5646858
2008-01-14,core,22,static,1.6360885,1.4198773
2008-01-15,core,22,static,1.6973455,1.6802088
2008-01-16,core,22,static,1.553334,1.3410401
2008-01-17,core,22,static,1.630197,1.5283895
2008-01-18,core,22,static,1.5269089,1.6728722
2008-01-21,core,22,static,1.615431,1.6035359
2008-01-22,core,22,static,2.3567367,1.7577748
2008-01-23,core,22,static,2.046865,2.0188026
2008-01-24,core,22,static,1.3832077,1.3897663
2008-01-25,core,22,static,1.0376173,1.0467706
2008-01-28,core,22,static,1.1668031,1.5449631
2008-01-29,core,22,static,1.5260189,1.7245346
2008-01-30,core,22,static,2.0415008,1.9787892
2008-01-31,core,22,static,2.031805,2.0675952
2008-02-01,core,22,static,1.2811161,1.2825952
2008-02-04,core,22,static,1.0596933,1.2593818
2008-02-05,core,22,static,1.042306,1.2073537
2008-02-11,core,22,static,1.0512664,1.2202998
2008-02-12,core,22,static,0.94236434,1.0775639
2008-02-13,core,22,static,1.0275909,1.137038
2008-02-14,core,22,static,0.7526247,0.9674738
2008-02-15,core,22,static,0.96943927,1.0756986
2008-02-18,core,22,static,1.3434831,1.0072991
2008-02-19,core,22,static,0.713919,0.78252995
2008-02-20,core,22,static,1.0903367,0.98190737
2008-02-21,core,22,static,0.99236196,0.89837486
2008-02-22,core,22,static,0.916679,0.9927817
2008-02-25,core,22,static,0.68167835,0.6602319
2008-02-26,core,22,static,0.7038082,0.75532216
2008-02-27,core,22,static,0.8071035,0.631795
2008-02-28,core,22,static,0.945067,0.83513004
2008-02-29,core,22,static,0.7695022,0.8122364
2008-03-03,core,22,static,0.8726147,0.87410206
2008-03-04,core,22,static,0.98186886,0.77755624
2008-03-05,core,22,static,0.6185771,0.8268349
