date,feature_set,L,protocol,RV_target,RV_pred
2013-12-19,core,22,static,0.48027983,0.64642847
2013-12-20,core,22,static,0.56459975,0.4497538
2013-12-23,core,22,static,0.4692802,0.40340224
2013-12-24,core,22,static,0.37592426,0.4296654
2013-12-26,core,22,static,0.34329724,0.46747547
2013-12-27,core,22,static,0.40542945,0.5237002
2013-12-30,core,22,static,0.39755836,0.4180519
2014-01-02,core,22,static,0.745619,0.91859025
2014-01-03,core,22,static,0.83173496,0.77260464
2014-01-06,core,22,static,0.66945153,0.59841454
2014-01-07,core,22,static,0.66912365,0.54256135
2014-01-08,core,22,static,0.6145574,0.57389015
2014-01-09,core,22,static,0.72558045,0.5665466
2014-01-10,core,22,static,0.8143008,0.6896829
2014-01-13,core,22,static,0.50973,0.48518884
2014-01-14,core,22,static,0.6865121,0.65051013
2014-01-15,core,22,static,0.45595104,0.49021843
2014-01-16,core,22,static,0.6030574,0.44292817
2014-01-17,core,22,static,0.5502644,0.6046714
2014-01-20,core,22,static,0.55134165,0.5671049
2014-01-21,core,22,static,0.40762115,0.48255205
2014-01-22,core,22,static,0.40055934,0.44777837
2014-01-23,core,22,static,0.55819607,0.5860551
2014-01-24,core,22,static,0.6551958,0.6238448
2014-01-27,core,22,static,0.6563229,0.58208513
2014-01-28,core,22,static,0.5331622,0.5314476
2014-01-29,core,22,static,0.48386818,0.47250524
2014-02-03,core,22,static,0.48515627,0.491559
2014-02-04,core,22,static,0.6177616,0.5593875
2014-02-05,core,22,static,0.4867734,0.5033077
2014-02-06,core,22,static,0.5684755,0.48769644
2014-02-07,core,22,static,0.4129472,0.46653968
2014-02-10,core,22,static,0.47753435,0.47965044
2014-02-11,core,22,static,0.43266043,0.44990796
2014-02-12,core,22,static,0.41571212,0.397978
2014-02-13,core,22,static,0.5321779,0.55389947
2014-02-14,core,22,static,0.43489394,0.50552374
2014-02-17,core,22,static,0.44116375,0.45089483
2014-02-18,core,22,static,0.4554524,0.48404086
2014-02-19,core,22,static,0.51835936,0.45672742
2014-02-20,core,22,static,0.57120365,0.483155
2014-02-21,core,22,static,0.2922706,0.38992375
2014-02-24,core,22,static,0.4961578,0.4879636
2014-02-25,core,22,static,0.38584572,0.37404385
2014-02-26,core,22,static,0.38891312,0.5051119
2014-02-27,core,22,static,0.36891544,0.45557994
2014-02-28,core,22,static,0.5748443,0.38567734
2014-03-03,core,22,static,0.49052024,0.43747205
2014-03-04,core,22,static,0.3731192,0.44011295
2014-03-05,core,22,static,0.29578462,0.33616397
2014-03-06,core,22,static,0.36687255,0.39269707
2014-03-07,core,22,static,0.35954282,0.47231707
2014-03-10,core,22,static,0.39663768,0.43205
2014-03-11,core,22,static,0.36216235,0.40928096
2014-03-12,core,22,static,0.52406615,0.60967845
2014-03-13,core,22,static,0.7643156,0.5098524
2014-03-14,core,22,static,0.49179876,0.5178819
2014-03-17,core,22,static,0.440258,0.42362538
2014-03-18,core,22,static,0.4034605,0.4425613
2014-03-19,core,22,static,0.37717324,0.45640424
2014-03-20,core,22,static,0.49770895,0.48419857
2014-03-21,core,22,static,0.30561572,0.3667429
2014-03-24,core,22,static,0.55959314,0.45946932
2014-03-25,core,22,static,0.47395012,0.41897923
2014-03-26,core,22,static,0.3636279,0.38082013
