date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,22,static,0.39189517,0.3263582
2020-01-03,core,22,static,0.57780653,0.415592
2020-01-06,core,22,static,0.32529518,0.51783305
2020-01-07,core,22,static,0.34476992,0.3150789
2020-01-08,core,22,static,0.49492148,0.4560402
2020-01-09,core,22,static,0.3705553,0.2818151
2020-01-10,core,22,static,0.40058494,0.40015617
2020-01-13,core,22,static,0.23661307,0.34311727
2020-01-14,core,22,static,0.3889446,0.3224829
2020-01-15,core,22,static,0.40533447,0.3398372
2020-01-16,core,22,static,0.2643698,0.29237276
2020-01-17,core,22,static,0.30481642,0.24676022
2020-01-21,core,22,static,0.34118327,0.28549367
2020-01-22,core,22,static,0.35213205,0.33528244
2020-01-23,core,22,static,0.4966379,0.37488845
2020-01-24,core,22,static,0.73585385,0.6690153
2020-01-27,core,22,static,0.64604306,0.5314172
2020-01-28,core,22,static,0.452649,0.56515485
2020-01-29,core,22,static,0.50535023,0.46516216
2020-01-30,core,22,static,0.72819614,0.6882157
2020-01-31,core,22,static,0.9274307,0.91689986
2020-02-03,core,22,static,0.6683946,0.6638955
2020-02-04,core,22,static,0.4575791,0.5169355
2020-02-05,core,22,static,0.5100799,0.40974045
2020-02-06,core,22,static,0.44047529,0.3159256
2020-02-07,core,22,static,0.5289929,0.4302508
2020-02-10,core,22,static,0.42343602,0.5611837
2020-02-11,core,22,static,0.48149973,0.38154745
2020-02-12,core,22,static,0.3780177,0.34241077
2020-02-13,core,22,static,0.50131303,0.4197272
2020-02-14,core,22,static,0.36170778,0.30486327
2020-02-18,core,22,static,0.47965696,0.3978123
2020-02-19,core,22,static,0.24694817,0.3646224
2020-02-20,core,22,static,0.94577426,0.6774036
2020-02-21,core,22,static,0.74495405,0.5475551
2020-02-24,core,22,static,1.0896305,0.9072768
2020-02-25,core,22,static,1.5687497,1.9309324
2020-02-26,core,22,static,1.6612145,1.5715921
2020-02-27,core,22,static,2.6818995,2.2052686
2020-02-28,core,22,static,3.7478864,2.4914215
2020-03-02,core,22,static,2.504804,2.5457294
2020-03-03,core,22,static,4.2940593,2.688605
2020-03-04,core,22,static,1.6346346,2.2220445
2020-03-05,core,22,static,1.9132732,1.9401445
2020-03-06,core,22,static,2.3569694,1.7140988
2020-03-09,core,22,static,4.796297,2.2945936
2020-03-10,core,22,static,3.3062744,3.3158534
2020-03-11,core,22,static,2.2872944,3.0855558
2020-03-12,core,22,static,6.4444075,3.7147114
2020-03-13,core,22,static,5.1270256,6.095403
2020-03-16,core,22,static,6.4195466,2.9993565
2020-03-17,core,22,static,4.766583,5.9699144
2020-03-18,core,22,static,4.9877863,6.602339
2020-03-19,core,22,static,4.5690975,4.587682
2020-03-20,core,22,static,3.9225721,6.308263
2020-03-23,core,22,static,5.348252,3.2190573
2020-03-24,core,22,static,3.039526,3.0177193
2020-03-25,core,22,static,3.6391017,4.1129622
2020-03-26,core,22,static,3.3056555,3.3856769
2020-03-27,core,22,static,2.38725,2.658878
2020-03-30,core,22,static,1.8603938,2.651746
2020-03-31,core,22,static,2.0069637,1.7889049
2020-04-01,core,22,static,1.7947489,3.167028
2020-04-02,core,22,static,2.7526884,1.9683198
2020-04-03,core,22,static,1.9069453,2.0438216
2020-04-06,core,22,static,1.5418934,1.9002161
2020-04-07,core,22,static,2.5417154,2.2678964
2020-04-08,core,22,static,1.4902737,1.9583915
2020-04-09,core,22,static,1.8835154,1.3819801
2020-04-13,core,22,static,1.6725112,1.3434243
2020-04-14,core,22,static,1.2687376,1.1482983
2020-04-15,core,22,static,1.4262171,1.2689061
2020-04-16,core,22,static,1.3615836,1.033372
2020-04-17,core,22,static,1.1710815,1.0450385
2020-04-20,core,22,static,1.2892947,1.2633207
2020-04-21,core,22,static,1.6754447,1.5272892
2020-04-22,core,22,static,0.91572154,1.1406221
2020-04-23,core,22,static,1.3922467,1.2335492
2020-04-24,core,22,static,0.93943346,1.1421278
2020-04-27,core,22,static,0.7241447,0.7522469
2020-04-28,core,22,static,1.2178254,1.2834866
2020-04-29,core,22,static,0.82914966,0.90675896
2020-04-30,core,22,static,1.2808839,0.90210366
2020-05-01,core,22,static,1.1763699,1.1843829
2020-05-05,core,22,static,0.93475103,0.8849279
2020-05-06,core,22,static,1.0374403,1.0514145
2020-05-07,core,22,static,0.83236057,0.7618461
2020-05-08,core,22,static,0.5910205,0.7743941
2020-05-11,core,22,static,0.7853065,0.77009636
2020-05-12,core,22,static,0.962028,1.2405859
2020-05-13,core,22,static,1.7481351,1.4194692
2020-05-14,core,22,static,1.5898035,1.7696857
2020-05-15,core,22,static,1.2404516,1.0669061
2020-05-18,core,22,static,1.0309315,1.0162462
2020-05-19,core,22,static,1.1724606,0.9211952
2020-05-20,core,22,static,0.7200201,0.8210747
2020-05-21,core,22,static,0.99725384,0.88208306
2020-05-22,core,22,static,0.69256705,0.681217
2020-05-26,core,22,static,0.73716617,0.7252195
2020-05-27,core,22,static,1.1451174,1.0710166
2020-05-28,core,22,static,1.0197353,0.9280575
2020-05-29,core,22,static,1.4629577,1.0005796
2020-06-01,core,22,static,0.5712933,0.76043624
2020-06-02,core,22,static,0.6681298,0.6018801
2020-06-03,core,22,static,0.58002305,0.64901197
2020-06-04,core,22,static,0.8117055,0.71587163
2020-06-05,core,22,static,0.8815963,0.7192454
2020-06-08,core,22,static,0.63393,0.554311
2020-06-09,core,22,static,0.84415996,0.6202118
2020-06-10,core,22,static,1.2856768,0.7941383
2020-06-11,core,22,static,1.7167212,2.0747573
2020-06-12,core,22,static,2.3175223,2.0637138
2020-06-15,core,22,static,1.9292932,2.1107028
2020-06-16,core,22,static,1.7275707,1.4486651
2020-06-17,core,22,static,0.88524044,0.59687537
2020-06-18,core,22,static,0.86228484,0.6339981
2020-06-19,core,22,static,1.3585914,1.3454678
2020-06-23,core,22,static,0.67075735,0.7485805
2020-06-24,core,22,static,1.5251178,1.5023592
2020-06-25,core,22,static,1.2592999,1.1784035
2020-06-26,core,22,static,1.1905662,1.4059387
2020-06-29,core,22,static,0.8863607,1.1853977
2020-06-30,core,22,static,0.90190184,1.4446282
2020-07-01,core,22,static,0.8760425,0.70476156
2020-07-02,core,22,static,0.91483134,0.85897917
2020-07-06,core,22,static,0.81962407,0.55461943
2020-07-07,core,22,static,0.7022976,0.7939062
2020-07-08,core,22,static,0.85270464,0.68638796
2020-07-09,core,22,static,1.2225832,1.1502149
2020-07-10,core,22,static,0.89676213,0.9282654
2020-07-13,core,22,static,1.2125746,1.412503
2020-07-14,core,22,static,1.4073156,1.2533646
2020-07-15,core,22,static,1.0954168,0.90094495
2020-07-16,core,22,static,0.7466605,0.64978385
