date,feature_set,L,protocol,RV_target,RV_pred
2001-09-04,core,22,static,1.2100633,1.4146626
2001-09-05,core,22,static,1.5679408,1.238785
2001-09-06,core,22,static,1.7411339,1.3391774
2001-09-07,core,22,static,1.6673518,1.6194699
2001-09-10,core,22,static,0.74644005,1.4770803
2001-09-17,core,22,static,2.2967522,2.0566702
2001-09-18,core,22,static,1.0420033,1.782546
2001-09-19,core,22,static,2.0819445,3.153249
2001-09-20,core,22,static,2.3077028,2.3109071
2001-09-21,core,22,static,3.8494375,2.857816
2001-09-24,core,22,static,2.7487578,2.4275305
2001-09-25,core,22,static,1.3044777,1.5171366
2001-09-26,core,22,static,1.2184697,1.2623705
2001-09-27,core,22,static,1.323603,1.9937971
2001-09-28,core,22,static,1.383098,1.629349
2001-10-01,core,22,static,1.1153392,1.1168463
2001-10-02,core,22,static,1.1142824,1.2722703
2001-10-03,core,22,static,1.4624399,1.6881813
2001-10-04,core,22,static,1.4496776,1.2117369
2001-10-05,core,22,static,1.388343,1.1661446
2001-10-09,core,22,static,0.9012264,1.1211085
2001-10-10,core,22,static,1.1528347,1.4862894
2001-10-11,core,22,static,1.3153303,1.1704707
2001-10-12,core,22,static,1.8570796,1.4063654
2001-10-15,core,22,static,1.1521173,1.0545502
2001-10-16,core,22,static,1.086504,1.0222
2001-10-17,core,22,static,1.5736189,1.525786
2001-10-18,core,22,static,1.0661162,1.2382996
2001-10-19,core,22,static,0.9112782,1.2904527
2001-10-22,core,22,static,0.93944675,0.89397687
2001-10-23,core,22,static,1.1428016,0.9835201
2001-10-25,core,22,static,1.6669167,1.462436
2001-10-26,core,22,static,1.1963391,1.1176419
2001-10-29,core,22,static,1.1619931,1.1518937
2001-10-30,core,22,static,1.4189671,1.3537986
2001-10-31,core,22,static,1.3224171,1.3675896
2001-11-01,core,22,static,1.3793659,1.5523185
2001-11-02,core,22,static,1.1274173,1.0101488
2001-11-05,core,22,static,1.2020197,1.0498157
2001-11-06,core,22,static,1.1549374,1.0327299
2001-11-07,core,22,static,0.8003076,1.1328137
2001-11-08,core,22,static,1.1623281,1.2544088
2001-11-09,core,22,static,1.0823077,1.0957665
2001-11-12,core,22,static,1.8706733,1.0424491
2001-11-13,core,22,static,1.3069998,1.0272927
2001-11-14,core,22,static,0.72449815,1.0094597
2001-11-15,core,22,static,0.9128627,0.88013583
2001-11-16,core,22,static,0.863002,0.89265853
2001-11-19,core,22,static,0.8419718,0.7510008
2001-11-20,core,22,static,0.818936,0.8075803
2001-11-21,core,22,static,0.7878766,0.972413
2001-11-23,core,22,static,0.46533653,0.8861507
2001-11-26,core,22,static,0.7479832,0.6419216
2001-11-27,core,22,static,1.2810916,0.90076536
2001-11-28,core,22,static,1.1399939,1.0656654
