date,feature_set,L,protocol,RV_target,RV_pred
2020-01-06,core,252,static,0.44382903,0.58444947
2020-01-07,core,252,static,0.44791958,0.57454044
2020-01-08,core,252,static,1.0271528,0.81079286
2020-01-09,core,252,static,0.40029523,0.67914927
2020-01-10,core,252,static,0.50816536,0.51345545
2020-01-14,core,252,static,0.4712035,0.4111174
2020-01-15,core,252,static,0.34357914,0.43137893
2020-01-16,core,252,static,0.33070755,0.33782858
2020-01-17,core,252,static,0.2753261,0.33490607
2020-01-20,core,252,static,0.24701275,0.25960773
2020-01-21,core,252,static,0.6026988,0.51636434
2020-01-22,core,252,static,0.33330953,0.47525775
2020-01-23,core,252,static,0.5190674,0.41654155
2020-01-24,core,252,static,0.35779923,0.43578377
2020-01-27,core,252,static,0.5440839,0.54202896
2020-01-28,core,252,static,0.60429853,0.571022
2020-01-29,core,252,static,0.41658565,0.4300161
2020-01-30,core,252,static,0.64967036,0.97175115
2020-01-31,core,252,static,0.7667314,0.7604037
2020-02-03,core,252,static,0.7104763,0.6889486
2020-02-04,core,252,static,0.5517053,0.6398481
2020-02-05,core,252,static,0.5521484,0.4921238
2020-02-06,core,252,static,0.61236733,0.76146924
2020-02-07,core,252,static,0.5950724,0.622044
2020-02-10,core,252,static,0.5692523,0.5411541
2020-02-12,core,252,static,0.5979088,0.5002792
2020-02-13,core,252,static,0.50525135,0.42942473
2020-02-14,core,252,static,0.43281853,0.5156958
2020-02-17,core,252,static,0.68583125,0.6317532
2020-02-18,core,252,static,0.5501335,0.67946196
2020-02-19,core,252,static,0.45302433,0.5607842
2020-02-20,core,252,static,0.90920395,0.79074854
2020-02-21,core,252,static,0.69606656,0.7283525
2020-02-25,core,252,static,1.9779071,1.213419
2020-02-26,core,252,static,1.144741,1.33517
2020-02-27,core,252,static,0.9997437,1.2880118
2020-02-28,core,252,static,1.8126712,1.8213185
2020-03-02,core,252,static,1.69042,1.9718593
2020-03-03,core,252,static,1.2993041,1.5423846
2020-03-04,core,252,static,1.2761705,1.1634542
2020-03-05,core,252,static,0.89602184,0.9148645
2020-03-06,core,252,static,0.92434686,1.2865456
2020-03-09,core,252,static,2.1368737,2.4630702
2020-03-10,core,252,static,2.9922836,3.102193
2020-03-11,core,252,static,1.9073552,1.868535
2020-03-12,core,252,static,2.3385322,2.5043132
2020-03-13,core,252,static,6.2040453,4.8114343
2020-03-16,core,252,static,3.7857985,4.046612
2020-03-17,core,252,static,4.355637,3.132346
2020-03-18,core,252,static,2.641052,2.7689822
2020-03-19,core,252,static,2.735579,2.8469434
2020-03-23,core,252,static,2.3729339,2.5877206
2020-03-24,core,252,static,3.0436535,2.682283
2020-03-25,core,252,static,3.0308642,3.1095679
2020-03-26,core,252,static,2.714887,2.4224172
2020-03-27,core,252,static,2.8818197,2.0492125
2020-03-30,core,252,static,1.6537532,1.8417275
2020-03-31,core,252,static,1.782464,1.7307343
2020-04-01,core,252,static,1.9083135,2.7019837
2020-04-02,core,252,static,2.137784,2.1354716
2020-04-03,core,252,static,1.4161434,1.6061585
2020-04-06,core,252,static,2.1911533,1.9505968
2020-04-07,core,252,static,2.2000232,1.8995993
2020-04-08,core,252,static,2.1747363,2.00957
2020-04-09,core,252,static,1.1293111,1.5664542
2020-04-10,core,252,static,0.944081,0.90970504
2020-04-13,core,252,static,0.9757498,1.136412
2020-04-14,core,252,static,1.2967237,1.5295627
2020-04-15,core,252,static,1.2495824,1.0396576
2020-04-16,core,252,static,0.83327824,1.0282054
2020-04-17,core,252,static,1.1986153,1.0075092
2020-04-20,core,252,static,0.8171136,0.8388576
2020-04-21,core,252,static,1.1040707,1.148031
2020-04-22,core,252,static,1.151931,0.9891848
2020-04-23,core,252,static,0.8686289,0.88002396
2020-04-24,core,252,static,0.66154623,0.8701579
2020-04-27,core,252,static,0.8998703,0.88206196
2020-04-28,core,252,static,0.77641505,0.8501244
2020-04-30,core,252,static,1.134217,0.8204747
2020-05-01,core,252,static,0.88407654,1.2555722
2020-05-07,core,252,static,0.7189698,1.0208809
2020-05-08,core,252,static,0.964118,0.9145941
2020-05-11,core,252,static,0.70183384,0.7343655
2020-05-12,core,252,static,0.7655016,0.59663886
2020-05-13,core,252,static,0.7385725,0.78162265
2020-05-14,core,252,static,0.7860958,0.8882476
2020-05-15,core,252,static,1.06585,1.0262189
2020-05-18,core,252,static,0.7189533,0.82589024
