date,feature_set,L,protocol,RV_target,RV_pred
2014-01-08,core,252,static,0.5049092,0.40738654
2014-01-09,core,252,static,0.44792023,0.5199795
2014-01-10,core,252,static,0.41781142,0.42680964
2014-01-13,core,252,static,0.47251758,0.82764643
2014-01-14,core,252,static,0.49484262,0.5617185
2014-01-15,core,252,static,0.389796,0.43471554
2014-01-16,core,252,static,0.3719646,0.4061986
2014-01-17,core,252,static,0.36259443,0.4465303
2014-01-21,core,252,static,0.6656816,0.5443348
2014-01-22,core,252,static,0.31373873,0.3901827
2014-01-23,core,252,static,0.71243316,0.6751863
2014-01-24,core,252,static,0.9068204,1.0892085
2014-01-27,core,252,static,0.81133616,0.9501229
2014-01-28,core,252,static,0.5316145,0.6178872
2014-01-29,core,252,static,1.0421811,0.7509773
2014-01-30,core,252,static,0.78014624,0.798011
2014-01-31,core,252,static,1.1046423,0.80743253
2014-02-03,core,252,static,0.9668377,1.3534691
2014-02-04,core,252,static,0.819945,0.69036084
2014-02-05,core,252,static,0.9269459,0.8378081
2014-02-06,core,252,static,0.5575153,0.68866193
2014-02-07,core,252,static,0.65374666,0.8891435
2014-02-10,core,252,static,0.31248182,0.3946863
2014-02-11,core,252,static,0.41629142,0.662389
2014-02-12,core,252,static,0.45831323,0.47346
2014-02-13,core,252,static,0.49265444,0.6624617
2014-02-14,core,252,static,0.38318944,0.61891246
2014-02-18,core,252,static,0.3537131,0.4278144
2014-02-19,core,252,static,0.54439,0.597577
2014-02-20,core,252,static,0.51263076,0.6464656
2014-02-21,core,252,static,0.41156575,0.4642261
2014-02-24,core,252,static,0.58284545,0.6966073
2014-02-25,core,252,static,0.56813157,0.51861376
2014-02-26,core,252,static,0.5470898,0.5215542
2014-02-27,core,252,static,0.52451116,0.5102988
2014-02-28,core,252,static,0.6110896,0.6776559
2014-03-03,core,252,static,0.9133794,0.7554892
2014-03-04,core,252,static,0.96754813,0.75051284
2014-03-05,core,252,static,0.41537228,0.44308123
2014-03-06,core,252,static,0.40407717,0.396092
2014-03-07,core,252,static,0.55469537,0.49759543
2014-03-10,core,252,static,0.4751483,0.45540503
2014-03-11,core,252,static,0.5007032,0.65880865
2014-03-12,core,252,static,0.6769494,0.551345
2014-03-13,core,252,static,0.7307913,0.95414567
2014-03-14,core,252,static,0.6815504,0.6314097
2014-03-17,core,252,static,0.74760824,0.6322174
2014-03-18,core,252,static,0.48231757,0.52974665
2014-03-19,core,252,static,0.7574357,0.72806257
2014-03-20,core,252,static,0.5430734,0.6615835
2014-03-21,core,252,static,0.7111093,0.75600547
2014-03-24,core,252,static,0.6954413,0.8243846
2014-03-25,core,252,static,0.7636264,0.61796623
2014-03-26,core,252,static,0.64480937,0.7438089
2014-03-27,core,252,static,0.79874605,0.6380438
2014-03-28,core,252,static,0.6167684,0.65399927
2014-03-31,core,252,static,0.70626074,0.5455105
2014-04-01,core,252,static,0.47637957,0.50645906
2014-04-02,core,252,static,0.37295157,0.40766045
2014-04-03,core,252,static,0.38243917,0.44333097
2014-04-04,core,252,static,0.77531964,0.99598366
2014-04-07,core,252,static,0.73298806,0.8355821
2014-04-08,core,252,static,0.6260387,0.6747814
2014-04-09,core,252,static,0.5471668,0.62043077
2014-04-10,core,252,static,0.8312494,1.2154179
2014-04-11,core,252,static,1.0073607,0.9041922
2014-04-14,core,252,static,0.8529536,0.7337956
2014-04-15,core,252,static,0.91792023,0.8469451
2014-04-16,core,252,static,0.68598306,0.6626938
2014-04-17,core,252,static,0.47364476,0.6110199
2014-04-21,core,252,static,0.341622,0.33379725
2014-04-22,core,252,static,0.32808822,0.4576588
2014-04-23,core,252,static,0.36450958,0.39214548
2014-04-24,core,252,static,0.58910805,0.49382675
2014-04-25,core,252,static,0.58639413,0.6948725
2014-04-28,core,252,static,0.82358533,0.8678705
2014-04-29,core,252,static,0.5001894,0.52701104
2014-04-30,core,252,static,0.4978034,0.49161345
2014-05-01,core,252,static,0.4511681,0.48295614
2014-05-02,core,252,static,0.56266874,0.497766
2014-05-05,core,252,static,0.7295594,0.70077395
2014-05-06,core,252,static,0.5130741,0.6174268
2014-05-07,core,252,static,0.89697677,0.62301123
2014-05-08,core,252,static,0.51938224,0.7508476
2014-05-09,core,252,static,0.5581554,0.494512
2014-05-12,core,252,static,0.4801866,0.5460272
2014-05-13,core,252,static,0.31696823,0.3282161
2014-05-14,core,252,static,0.38752997,0.42244282
2014-05-15,core,252,static,0.6911194,0.7671594
2014-05-16,core,252,static,0.46763945,0.54102886
2014-05-19,core,252,static,0.34235182,0.4965341
2014-05-20,core,252,static,0.5234825,0.5967697
2014-05-21,core,252,static,0.49420696,0.5011042
2014-05-22,core,252,static,0.30170885,0.47390595
2014-05-23,core,252,static,0.20592427,0.32921764
