date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,60,static,1.1162918,1.7592052
2001-09-04,core,60,static,2.0407026,2.1589444
2001-09-05,core,60,static,1.9308276,1.4786476
2001-09-06,core,60,static,2.2984583,1.7706825
2001-09-07,core,60,static,1.6795223,1.4374241
2001-09-11,core,60,static,1.5307633,1.5664363
2001-09-12,core,60,static,2.9791594,2.7049606
2001-09-13,core,60,static,2.1383514,1.738956
2001-09-14,core,60,static,2.6557584,2.4890444
2001-09-17,core,60,static,1.9450941,2.5103474
2001-09-18,core,60,static,2.4098809,2.1482542
2001-09-19,core,60,static,2.3552494,2.3133209
2001-09-20,core,60,static,1.6585617,1.6005666
2001-09-21,core,60,static,1.7568865,1.9720294
2001-09-25,core,60,static,1.8962106,1.7998639
2001-09-26,core,60,static,1.4537836,1.4654057
2001-09-27,core,60,static,1.2037674,1.4130435
2001-09-28,core,60,static,1.4054729,1.4099799
2001-10-01,core,60,static,1.8121343,1.9849335
2001-10-02,core,60,static,1.2978135,1.6277199
2001-10-03,core,60,static,1.6023628,1.6332843
2001-10-04,core,60,static,1.4444504,1.4530469
2001-10-05,core,60,static,1.4616369,1.4556856
2001-10-09,core,60,static,1.3781606,1.2398437
2001-10-10,core,60,static,1.0720345,1.2478169
2001-10-11,core,60,static,1.2359428,1.5935006
2001-10-12,core,60,static,1.6532644,1.3336283
2001-10-15,core,60,static,1.0386,1.1529211
2001-10-16,core,60,static,1.2261803,1.4942027
2001-10-17,core,60,static,1.2315547,1.3261513
2001-10-18,core,60,static,1.12609,1.2731833
2001-10-19,core,60,static,0.9049973,1.279786
2001-10-22,core,60,static,0.6510661,0.9191419
2001-10-23,core,60,static,1.2846167,1.1100773
2001-10-24,core,60,static,1.302556,1.1598969
2001-10-25,core,60,static,1.3072278,1.2254078
2001-10-26,core,60,static,1.1498301,1.2983773
2001-10-29,core,60,static,1.0187558,1.2298245
2001-10-30,core,60,static,1.2031951,1.2308899
2001-10-31,core,60,static,0.8309624,1.0730885
2001-11-01,core,60,static,0.9647422,1.1320685
2001-11-02,core,60,static,1.450916,1.1972407
2001-11-05,core,60,static,0.6997015,1.0106922
2001-11-06,core,60,static,0.91230756,0.95607865
2001-11-07,core,60,static,1.213562,1.5536675
2001-11-08,core,60,static,1.2132354,1.3217599
2001-11-09,core,60,static,1.3137938,1.1945598
2001-11-12,core,60,static,1.0898567,1.2645887
2001-11-13,core,60,static,0.87020963,1.1204042
2001-11-14,core,60,static,1.2052678,1.0732445
2001-11-15,core,60,static,1.2514703,1.7169605
2001-11-16,core,60,static,2.1688633,1.8362778
2001-11-19,core,60,static,1.5463173,1.4070594
2001-11-20,core,60,static,1.6622303,1.3456684
2001-11-21,core,60,static,1.7681742,1.8245662
2001-11-22,core,60,static,1.2729993,1.3762562
2001-11-26,core,60,static,1.4711521,1.5210626
2001-11-27,core,60,static,1.4325883,1.4055856
2001-11-28,core,60,static,1.4102099,1.6293517
2001-11-30,core,60,static,1.2161804,1.3698406
2001-12-03,core,60,static,1.4683616,1.662287
2001-12-04,core,60,static,1.3313465,1.4488077
2001-12-05,core,60,static,1.1900908,1.3191202
2001-12-06,core,60,static,1.8679303,1.3772585
2001-12-07,core,60,static,1.0733515,1.270127
2001-12-10,core,60,static,0.93792796,1.2076341
2001-12-11,core,60,static,1.022902,1.2303853
2001-12-12,core,60,static,1.6226773,1.615814
2001-12-13,core,60,static,1.1153,1.6057948
2001-12-14,core,60,static,1.4686747,1.4745681
2001-12-17,core,60,static,1.1992097,1.2173753
2001-12-18,core,60,static,1.5933192,1.3951232
2001-12-19,core,60,static,1.5499549,1.2474498
2001-12-20,core,60,static,1.1386887,1.2519436
2001-12-21,core,60,static,1.0471654,1.2381847
2001-12-25,core,60,static,1.0677977,1.1835659
2001-12-26,core,60,static,1.0058322,1.1219956
2001-12-27,core,60,static,1.0679196,1.4656456
2002-01-07,core,60,static,1.0932148,1.0911622
2002-01-08,core,60,static,1.1639675,1.086064
2002-01-09,core,60,static,1.1235802,1.1099535
2002-01-10,core,60,static,1.2643216,1.2286625
2002-01-11,core,60,static,0.9711793,1.113447
2002-01-15,core,60,static,1.0283325,1.1538224
2002-01-16,core,60,static,1.0653367,1.2507704
2002-01-17,core,60,static,1.2711087,1.1743051
2002-01-21,core,60,static,1.0141083,1.245187
2002-01-22,core,60,static,1.1118968,1.2221624
2002-01-23,core,60,static,1.0210612,1.1153917
2002-01-24,core,60,static,1.3695625,1.2768275
2002-01-25,core,60,static,1.3686211,1.096341
2002-01-29,core,60,static,1.17725,1.1415918
2002-01-30,core,60,static,0.9733158,1.2823519
2002-01-31,core,60,static,0.9758415,1.0551593
2002-02-01,core,60,static,1.2524565,1.5318489
2002-02-04,core,60,static,0.92524797,1.3766469
2002-02-05,core,60,static,1.2981555,1.409589
2002-02-06,core,60,static,1.2677865,1.2582706
2002-02-07,core,60,static,1.4968977,1.2396269
2002-02-08,core,60,static,1.6193671,1.380296
2002-02-12,core,60,static,1.1070732,1.1707386
2002-02-13,core,60,static,1.434199,1.2268062
2002-02-14,core,60,static,1.6110401,1.4120982
2002-02-15,core,60,static,1.4196908,1.2147094
2002-02-18,core,60,static,0.75287354,1.2126153
2002-02-19,core,60,static,1.106537,1.4382553
2002-02-20,core,60,static,1.1141962,1.4228168
2002-02-21,core,60,static,1.4723452,1.9597068
2002-02-22,core,60,static,1.3975843,1.4316635
2002-02-25,core,60,static,1.1679044,1.1537731
2002-02-26,core,60,static,1.3548403,1.4450098
2002-02-27,core,60,static,1.6635308,1.6574954
2002-02-28,core,60,static,1.4728757,1.387709
2002-03-01,core,60,static,1.4157524,1.5256215
2002-03-04,core,60,static,1.6944981,2.243586
2002-03-05,core,60,static,1.5808456,1.4362093
