date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,1.6718278,1.21879
2007-08-02,core,252,static,1.0545318,1.0513073
2007-08-03,core,252,static,1.2634865,1.4665818
2007-08-06,core,252,static,1.5228378,1.3773006
2007-08-07,core,252,static,1.5802648,1.3371506
2007-08-08,core,252,static,1.177296,1.2304957
2007-08-09,core,252,static,2.1938667,1.6396968
2007-08-10,core,252,static,2.0329282,1.6890688
2007-08-13,core,252,static,1.0790513,1.1198297
2007-08-14,core,252,static,1.2419599,1.2409809
2007-08-15,core,252,static,1.4086285,1.6061039
2007-08-16,core,252,static,2.3308847,2.1676795
2007-08-17,core,252,static,2.2522154,1.7055005
2007-08-20,core,252,static,1.090452,1.3312916
2007-08-21,core,252,static,0.98857677,1.0149214
2007-08-22,core,252,static,1.1598293,1.0048667
2007-08-23,core,252,static,0.9439304,1.158762
2007-08-24,core,252,static,0.59175897,0.94103104
2007-08-27,core,252,static,0.61759686,0.7483988
2007-08-28,core,252,static,0.7875693,1.1655879
2007-08-29,core,252,static,1.0595468,1.0702116
2007-08-30,core,252,static,1.145752,0.9452825
2007-08-31,core,252,static,1.3263122,0.99929726
2007-09-04,core,252,static,0.6176023,1.0467477
2007-09-05,core,252,static,1.0097556,0.9260601
2007-09-06,core,252,static,0.75078577,0.88522375
2007-09-07,core,252,static,1.3905553,1.0579085
2007-09-10,core,252,static,1.0879066,1.1009371
2007-09-11,core,252,static,0.8977413,0.9095025
2007-09-12,core,252,static,0.76248676,0.8610177
2007-09-13,core,252,static,0.8040983,0.8538881
2007-09-14,core,252,static,0.82566416,0.78291476
2007-09-17,core,252,static,0.56728804,0.7399694
2007-09-18,core,252,static,1.4727147,1.1582115
2007-09-19,core,252,static,0.9417224,0.97143054
2007-09-20,core,252,static,0.6428541,0.79709476
2007-09-21,core,252,static,0.6494903,0.67984533
2007-09-24,core,252,static,0.6367967,0.70309454
2007-09-25,core,252,static,0.7038576,0.6758736
2007-09-26,core,252,static,0.61366844,0.66115725
2007-09-27,core,252,static,0.5321781,0.588339
2007-09-28,core,252,static,0.50032914,0.62104154
2007-10-01,core,252,static,0.54628026,0.6805504
2007-10-02,core,252,static,0.43112338,0.56584466
2007-10-03,core,252,static,0.58972424,0.5719212
2007-10-04,core,252,static,0.38272768,0.5522755
2007-10-05,core,252,static,0.71397245,0.59929967
2007-10-08,core,252,static,0.39922196,0.5635095
2007-10-09,core,252,static,0.57080454,0.55239636
2007-10-10,core,252,static,0.5209761,0.5895426
2007-10-11,core,252,static,0.92419004,0.91358566
2007-10-12,core,252,static,0.5672472,0.61693966
2007-10-15,core,252,static,0.7145553,0.7593721
2007-10-16,core,252,static,0.67439115,0.63980865
2007-10-17,core,252,static,0.91757625,0.86395437
2007-10-18,core,252,static,0.6790737,0.7086926
2007-10-19,core,252,static,1.1055093,1.2083147
2007-10-22,core,252,static,1.0594828,0.7891207
2007-10-23,core,252,static,0.8465984,0.7708699
2007-10-24,core,252,static,1.4033185,1.0695524
2007-10-25,core,252,static,1.1932651,1.1074002
2007-10-26,core,252,static,0.80886334,0.8018468
2007-10-29,core,252,static,0.60953456,0.6542261
2007-10-30,core,252,static,0.5387273,0.65814096
2007-10-31,core,252,static,1.1165581,0.8052265
2007-11-01,core,252,static,1.4491733,1.343355
2007-11-02,core,252,static,1.4267976,0.99839103
2007-11-05,core,252,static,1.2828665,0.99778825
2007-11-06,core,252,static,0.88201135,0.95569694
2007-11-07,core,252,static,1.4051869,1.4366167
2007-11-08,core,252,static,1.8736414,1.537229
2007-11-09,core,252,static,1.560577,1.2501028
2007-11-12,core,252,static,1.3244675,1.2430801
2007-11-13,core,252,static,1.122503,1.379518
2007-11-14,core,252,static,1.1282958,1.2491095
2007-11-15,core,252,static,1.194422,1.285786
2007-11-16,core,252,static,1.3042824,0.991269
2007-11-19,core,252,static,1.2105434,1.104047
2007-11-20,core,252,static,1.7195501,1.381753
2007-11-21,core,252,static,1.4897027,1.1388726
2007-11-23,core,252,static,0.958754,1.1111517
2007-11-26,core,252,static,1.1303153,1.4306592
2007-11-27,core,252,static,1.427426,1.0011433
2007-11-28,core,252,static,1.10864,1.4377924
2007-11-29,core,252,static,1.0607367,0.9951688
2007-11-30,core,252,static,1.302144,0.952307
2007-12-03,core,252,static,0.8708776,0.8835081
2007-12-04,core,252,static,0.8663291,0.80960584
2007-12-05,core,252,static,1.1051176,0.97122115
2007-12-06,core,252,static,0.6471775,1.0732592
2007-12-07,core,252,static,0.5555198,0.69777834
2007-12-10,core,252,static,0.5558142,0.6744198
2007-12-11,core,252,static,1.5148305,1.4034954
2007-12-12,core,252,static,2.1373532,1.748332
2007-12-13,core,252,static,1.0571756,1.245098
2007-12-14,core,252,static,1.0063825,0.96672684
2007-12-17,core,252,static,1.0156853,0.9808751
2007-12-18,core,252,static,1.213597,1.0853939
2007-12-19,core,252,static,0.9898298,1.0908409
2007-12-20,core,252,static,0.8427926,0.879982
2007-12-21,core,252,static,0.94438356,0.88348746
2007-12-24,core,252,static,0.4441711,0.75957036
2007-12-26,core,252,static,0.4618206,0.6790686
2007-12-27,core,252,static,0.6217016,0.769943
2007-12-28,core,252,static,0.7754581,0.72990984
2007-12-31,core,252,static,0.61130553,0.66749907
2008-01-02,core,252,static,1.0530771,0.95569235
2008-01-03,core,252,static,0.80877495,0.8062354
2008-01-04,core,252,static,1.2991108,1.1499773
2008-01-07,core,252,static,1.3807558,0.95906955
2008-01-08,core,252,static,1.5058283,1.5465188
2008-01-09,core,252,static,1.5742716,1.332067
2008-01-10,core,252,static,1.8811376,1.5780606
2008-01-11,core,252,static,1.4951758,1.3066255
2008-01-14,core,252,static,0.95996803,0.9612461
2008-01-15,core,252,static,1.2201732,1.2578875
2008-01-16,core,252,static,1.5963427,1.3985329
2008-01-17,core,252,static,1.7128186,1.895168
2008-01-18,core,252,static,1.9202243,1.9365106
2008-01-22,core,252,static,3.9248676,2.3315923
2008-01-23,core,252,static,3.5173955,2.9720137
2008-01-24,core,252,static,1.7193947,1.6592596
2008-01-25,core,252,static,1.6763679,2.1368146
2008-01-28,core,252,static,1.4217528,1.5642295
2008-01-29,core,252,static,1.0022706,1.1509981
2008-01-30,core,252,static,1.5117798,1.6873739
2008-01-31,core,252,static,2.2185607,2.2559307
2008-02-01,core,252,static,1.17771,1.2702106
2008-02-04,core,252,static,0.8220022,1.0098108
2008-02-05,core,252,static,1.8209659,1.6322105
2008-02-06,core,252,static,1.1819025,1.6112758
2008-02-07,core,252,static,1.6257067,1.5243856
2008-02-08,core,252,static,1.2564852,1.2870092
2008-02-11,core,252,static,0.9540772,1.1335566
2008-02-12,core,252,static,1.261581,1.1181265
2008-02-13,core,252,static,1.1396948,1.0555725
2008-02-14,core,252,static,1.0863839,1.1235625
2008-02-15,core,252,static,0.86097443,0.932382
2008-02-19,core,252,static,1.1692086,1.086463
2008-02-20,core,252,static,1.4265395,1.2838678
2008-02-21,core,252,static,1.0697027,1.4036344
2008-02-22,core,252,static,1.2396327,1.2559322
2008-02-25,core,252,static,1.3419789,1.1969805
2008-02-26,core,252,static,0.9973722,1.171649
2008-02-27,core,252,static,1.082386,1.0158899
2008-02-28,core,252,static,1.0218838,0.9687537
2008-02-29,core,252,static,1.2593355,1.480933
2008-03-03,core,252,static,1.0989679,0.96415746
2008-03-04,core,252,static,1.4312714,1.1700333
2008-03-05,core,252,static,1.2723385,1.2633756
2008-03-06,core,252,static,1.234841,1.2912737
2008-03-07,core,252,static,1.8052349,1.5399598
2008-03-10,core,252,static,1.222146,1.205153
2008-03-11,core,252,static,2.320334,1.700521
2008-03-12,core,252,static,1.0775645,1.5918201
2008-03-13,core,252,static,2.0191429,1.9246191
2008-03-14,core,252,static,2.3841417,2.2043185
2008-03-17,core,252,static,2.2045317,1.7861865
2008-03-18,core,252,static,2.3845148,2.16586
2008-03-19,core,252,static,1.6087004,2.0554962
2008-03-20,core,252,static,1.1801345,1.7216731
2008-03-24,core,252,static,1.0612916,1.3536776
2008-03-25,core,252,static,0.9686494,1.0610812
2008-03-26,core,252,static,1.0520736,1.0415704
2008-03-27,core,252,static,1.1229486,1.0919054
2008-03-28,core,252,static,0.9389823,1.1570487
2008-03-31,core,252,static,0.91788596,0.89117664
2008-04-01,core,252,static,1.3439156,1.4407314
2008-04-02,core,252,static,0.8817394,1.0843778
2008-04-03,core,252,static,0.8856404,0.99609923
2008-04-04,core,252,static,0.85713655,0.9760138
2008-04-07,core,252,static,0.8542979,0.91134304
2008-04-08,core,252,static,0.8799234,0.7926233
2008-04-09,core,252,static,0.71123165,0.96051055
2008-04-10,core,252,static,0.8668627,0.8861811
2008-04-11,core,252,static,1.1842502,1.0646726
2008-04-14,core,252,static,0.7099435,0.81260586
2008-04-15,core,252,static,0.8432462,0.7760961
2008-04-16,core,252,static,1.0010043,1.0438125
2008-04-17,core,252,static,0.7720801,0.8486917
2008-04-18,core,252,static,1.6248907,0.97970235
2008-04-21,core,252,static,0.59707934,0.8899914
2008-04-22,core,252,static,0.7977572,0.8037895
2008-04-23,core,252,static,0.79788005,0.85249496
2008-04-24,core,252,static,1.0890502,1.0991681
2008-04-25,core,252,static,0.9663892,0.93815243
2008-04-28,core,252,static,0.6196455,0.7155007
2008-04-29,core,252,static,0.57439303,0.6945977
2008-04-30,core,252,static,1.1776272,0.8822901
2008-05-01,core,252,static,0.8206019,1.080113
2008-05-02,core,252,static,1.2258779,0.81039065
2008-05-05,core,252,static,0.67501754,0.79886305
2008-05-06,core,252,static,0.8485956,0.9145364
2008-05-07,core,252,static,0.7097915,1.0517317
2008-05-08,core,252,static,0.859231,0.7597101
2008-05-09,core,252,static,0.9795941,0.741997
2008-05-12,core,252,static,0.60077935,0.80218035
2008-05-13,core,252,static,0.52369165,0.6732821
2008-05-14,core,252,static,0.6433611,0.71633524
2008-05-15,core,252,static,0.6959373,0.7601296
2008-05-16,core,252,static,0.6224373,0.67960596
2008-05-19,core,252,static,0.7479857,0.7447394
2008-05-20,core,252,static,0.8097821,0.7374127
2008-05-21,core,252,static,0.9861004,1.0355393
2008-05-22,core,252,static,0.6671489,0.73020047
2008-05-23,core,252,static,0.7917137,0.78652537
2008-05-27,core,252,static,0.77967155,0.7376062
2008-05-28,core,252,static,0.74578756,0.7528873
2008-05-29,core,252,static,0.6745463,0.8212116
2008-05-30,core,252,static,0.6231141,0.60888386
2008-06-02,core,252,static,0.7787525,0.81905115
2008-06-03,core,252,static,0.87531495,0.9139354
2008-06-04,core,252,static,1.0268135,0.83916265
2008-06-05,core,252,static,0.8476007,0.9872017
2008-06-06,core,252,static,1.3171287,1.4111209
2008-06-09,core,252,static,1.0381751,0.9818777
2008-06-10,core,252,static,1.1607271,0.87186706
2008-06-11,core,252,static,1.0310018,0.99424434
2008-06-12,core,252,static,1.0975835,1.074887
2008-06-13,core,252,static,1.1124655,0.8929371
