date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,22,static,0.8925091,0.75783443
2020-01-03,core,22,static,0.8655617,0.889352
2020-01-06,core,22,static,0.64004916,0.69195396
2020-01-07,core,22,static,0.61568403,0.56624323
2020-01-08,core,22,static,0.8261563,0.7221952
2020-01-09,core,22,static,0.58667445,0.5817898
2020-01-10,core,22,static,0.7661299,0.5933013
2020-01-13,core,22,static,0.6040833,0.6360592
2020-01-14,core,22,static,0.6655603,0.58608323
2020-01-15,core,22,static,0.56905633,0.6099162
2020-01-16,core,22,static,0.58116597,0.612862
2020-01-17,core,22,static,0.63811225,0.65584606
2020-01-20,core,22,static,0.67395675,0.5972146
2020-01-21,core,22,static,0.5681763,0.70731115
2020-01-22,core,22,static,0.68830997,0.6742135
2020-01-23,core,22,static,0.72636735,0.7086403
2020-01-28,core,22,static,0.88319975,0.9359989
2020-01-29,core,22,static,0.8074044,0.758771
2020-01-30,core,22,static,0.8236806,1.0295511
2020-01-31,core,22,static,0.8683717,1.128907
2020-02-03,core,22,static,1.6001309,1.1325785
2020-02-04,core,22,static,0.99906355,1.054892
2020-02-05,core,22,static,0.9396403,0.925505
2020-02-06,core,22,static,0.8091606,0.9333596
2020-02-07,core,22,static,0.78680825,0.9311379
2020-02-10,core,22,static,0.7722622,0.84329945
2020-02-11,core,22,static,0.60671264,0.65316755
2020-02-12,core,22,static,0.71207774,0.7119372
2020-02-13,core,22,static,0.8955175,0.7817097
2020-02-14,core,22,static,0.74798423,0.81335425
2020-02-17,core,22,static,0.703522,0.72554845
2020-02-18,core,22,static,0.6943836,0.77149576
2020-02-19,core,22,static,0.95025545,0.8638775
2020-02-20,core,22,static,0.8966674,0.9687043
2020-02-21,core,22,static,0.8840929,0.8666784
2020-02-24,core,22,static,1.0130543,1.2234627
2020-02-25,core,22,static,1.1149325,0.92560816
2020-02-26,core,22,static,0.9713678,1.0250585
2020-02-27,core,22,static,1.096685,1.0586153
2020-02-28,core,22,static,1.0540459,1.3499318
2020-03-02,core,22,static,1.3627888,1.3188273
2020-03-03,core,22,static,1.0404245,1.2967886
2020-03-04,core,22,static,1.3947695,1.2748656
2020-03-05,core,22,static,1.1107405,1.012192
2020-03-06,core,22,static,0.88189816,1.034779
2020-03-09,core,22,static,0.9158199,1.3350835
2020-03-10,core,22,static,1.5066711,1.096166
2020-03-11,core,22,static,1.3666302,1.5683109
2020-03-12,core,22,static,2.3275516,2.0674615
2020-03-13,core,22,static,4.240512,3.687747
2020-03-16,core,22,static,3.102806,2.8866267
2020-03-17,core,22,static,3.1042266,2.8825095
2020-03-18,core,22,static,2.1478994,3.2421634
2020-03-19,core,22,static,5.106524,4.751689
2020-03-20,core,22,static,3.461034,4.106225
2020-03-23,core,22,static,2.9401298,2.601565
2020-03-24,core,22,static,2.4058669,3.7701728
2020-03-25,core,22,static,3.186184,2.314884
2020-03-26,core,22,static,3.3640313,2.6069336
2020-03-27,core,22,static,2.3679667,3.2725306
2020-03-30,core,22,static,1.7741219,2.8471377
2020-03-31,core,22,static,1.8786575,1.6598284
2020-04-01,core,22,static,1.5038444,2.209173
2020-04-02,core,22,static,3.0579274,2.0490053
2020-04-03,core,22,static,1.454066,2.1437025
2020-04-06,core,22,static,1.4193306,1.5968196
2020-04-07,core,22,static,1.825698,1.7830681
2020-04-08,core,22,static,1.42916,1.9210526
2020-04-09,core,22,static,1.1514325,1.2722659
2020-04-10,core,22,static,1.2350382,1.2838886
2020-04-13,core,22,static,0.7029782,1.2209836
2020-04-14,core,22,static,0.9109103,0.9753151
2020-04-16,core,22,static,0.98536414,1.2064202
2020-04-17,core,22,static,1.0865109,0.9957238
2020-04-20,core,22,static,1.0786573,1.1914374
2020-04-21,core,22,static,2.1421676,1.5348898
2020-04-22,core,22,static,1.0999987,1.6550298
2020-04-23,core,22,static,1.2316594,1.0327274
2020-04-24,core,22,static,0.99207103,1.0362809
2020-04-27,core,22,static,0.7388897,0.99141747
2020-04-28,core,22,static,1.0467181,0.95457715
2020-04-29,core,22,static,0.9343769,0.8658387
2020-05-04,core,22,static,0.9064175,0.99974185
2020-05-06,core,22,static,0.7964782,0.83549744
2020-05-07,core,22,static,0.6942912,0.866079
2020-05-08,core,22,static,0.6208556,0.7006055
2020-05-11,core,22,static,0.814888,0.79708576
2020-05-12,core,22,static,1.0388311,0.8611876
2020-05-13,core,22,static,0.89658505,1.0386499
2020-05-14,core,22,static,0.8146667,0.8086295
2020-05-15,core,22,static,0.91806823,0.85203207
2020-05-18,core,22,static,0.574851,0.7886375
2020-05-19,core,22,static,0.71427006,0.6080483
2020-05-20,core,22,static,0.5795682,0.7134847
2020-05-21,core,22,static,0.6458906,0.6286004
2020-05-22,core,22,static,0.81480575,0.9288926
2020-05-25,core,22,static,0.69699764,0.7521934
2020-05-26,core,22,static,0.74352235,0.77304345
2020-05-27,core,22,static,0.8157638,0.814402
2020-05-28,core,22,static,1.162163,1.1629425
2020-05-29,core,22,static,0.97077924,1.0248481
2020-06-01,core,22,static,0.6808788,0.78356904
2020-06-02,core,22,static,0.71813905,0.7724654
2020-06-03,core,22,static,0.974479,0.8729595
2020-06-04,core,22,static,1.5348704,1.2107284
2020-06-05,core,22,static,0.9500666,1.2002941
2020-06-08,core,22,static,1.2369232,1.1226146
2020-06-09,core,22,static,1.1788765,1.1781651
2020-06-10,core,22,static,0.7851555,0.86170554
2020-06-11,core,22,static,1.0741744,1.1105084
2020-06-12,core,22,static,1.3512856,1.180372
2020-06-15,core,22,static,1.6652087,2.006032
2020-06-16,core,22,static,1.279926,1.258124
2020-06-17,core,22,static,2.0011058,1.6538258
2020-06-18,core,22,static,1.0711188,1.4061444
2020-06-19,core,22,static,1.3147469,1.3345962
2020-06-22,core,22,static,0.9381533,1.0854514
2020-06-23,core,22,static,1.4316689,1.2020967
2020-06-24,core,22,static,0.82364184,0.9485765
2020-06-25,core,22,static,1.0901093,1.037723
2020-06-26,core,22,static,1.0487251,0.926385
2020-06-29,core,22,static,0.9529297,1.0037608
2020-06-30,core,22,static,0.90718454,0.8993826
2020-07-01,core,22,static,0.8848482,0.9737441
2020-07-02,core,22,static,0.71939707,0.7641634
2020-07-03,core,22,static,0.7971212,0.7276524
2020-07-06,core,22,static,0.6302711,0.7657622
2020-07-07,core,22,static,1.0224646,0.98814434
2020-07-08,core,22,static,1.0925791,0.8816658
2020-07-09,core,22,static,0.6573447,0.78624344
2020-07-10,core,22,static,0.85970616,0.85511345
2020-07-13,core,22,static,0.7903394,0.7217451
2020-07-14,core,22,static,0.7758081,0.7553637
2020-07-15,core,22,static,0.69883895,0.7024174
2020-07-16,core,22,static,0.807998,0.78696287
2020-07-17,core,22,static,0.7174348,0.66974664
2020-07-20,core,22,static,0.66419315,0.74639046
2020-07-21,core,22,static,0.5248831,0.6294724
2020-07-22,core,22,static,0.85102683,0.646995
2020-07-23,core,22,static,0.7028111,0.7200379
2020-07-24,core,22,static,0.73021305,0.7164567
2020-07-27,core,22,static,0.7561659,0.707317
2020-07-28,core,22,static,0.8034776,0.666516
2020-07-29,core,22,static,1.124659,0.74306136
2020-07-30,core,22,static,0.6978779,0.7393226
2020-07-31,core,22,static,0.8043342,0.7777511
2020-08-03,core,22,static,0.78379637,0.68933517
2020-08-04,core,22,static,0.5697663,0.5932143
2020-08-05,core,22,static,0.6791901,0.6344342
2020-08-06,core,22,static,0.83224666,0.6680043
2020-08-07,core,22,static,1.0421315,0.7565247
2020-08-10,core,22,static,0.774224,0.8212087
2020-08-11,core,22,static,0.8842718,0.71751803
2020-08-12,core,22,static,1.152268,0.89448833
2020-08-13,core,22,static,0.7132213,1.0103478
2020-08-14,core,22,static,1.1485844,1.071595
2020-08-18,core,22,static,1.3214118,1.4845092
2020-08-19,core,22,static,0.99441165,0.9545536
2020-08-20,core,22,static,1.3530253,1.5308686
2020-08-21,core,22,static,1.3588558,1.1754379
2020-08-24,core,22,static,1.6466806,1.2429402
2020-08-25,core,22,static,0.8695733,0.934181
2020-08-26,core,22,static,1.032218,1.0860474
