date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,22,static,2.05777,1.7016728
2007-08-02,core,22,static,2.6701517,2.2976444
2007-08-03,core,22,static,1.363984,1.4024745
2007-08-06,core,22,static,1.2901113,1.3374482
2007-08-07,core,22,static,1.1834062,1.3979303
2007-08-08,core,22,static,0.9152647,1.0537037
2007-08-09,core,22,static,1.280956,1.1046851
2007-08-10,core,22,static,1.2562598,1.2515775
2007-08-13,core,22,static,1.3104532,1.0190398
2007-08-14,core,22,static,1.4153055,1.4386094
2007-08-16,core,22,static,2.237005,2.1318676
2007-08-17,core,22,static,2.4822638,2.0981972
2007-08-20,core,22,static,1.287377,1.3021616
2007-08-21,core,22,static,1.8663054,1.6709435
2007-08-22,core,22,static,1.1827067,1.3923593
2007-08-23,core,22,static,0.99989235,1.0236181
2007-08-24,core,22,static,1.2254853,1.2307268
2007-08-27,core,22,static,0.90142137,1.1165576
2007-08-28,core,22,static,1.2708368,1.0652661
2007-08-29,core,22,static,1.4099318,1.6017016
2007-08-30,core,22,static,1.1340998,1.195963
2007-08-31,core,22,static,1.1562414,1.026683
2007-09-03,core,22,static,1.1932604,0.95670164
2007-09-04,core,22,static,1.01928,1.106691
2007-09-05,core,22,static,1.2170386,1.2379193
2007-09-06,core,22,static,1.2430456,1.259453
2007-09-07,core,22,static,1.1114899,1.199103
2007-09-10,core,22,static,1.3573148,1.0928152
2007-09-11,core,22,static,1.0158844,1.0748309
2007-09-12,core,22,static,1.1811479,1.2159878
2007-09-13,core,22,static,1.7420055,1.2702072
2007-09-14,core,22,static,0.93704087,1.1754292
2007-09-17,core,22,static,1.0048081,0.9725569
2007-09-18,core,22,static,1.0260617,1.0089129
2007-09-19,core,22,static,0.8076436,0.7462476
2007-09-20,core,22,static,1.1965716,0.8825152
2007-09-21,core,22,static,0.8722111,0.85891604
2007-09-27,core,22,static,0.7664867,0.77050835
2007-09-28,core,22,static,0.8080792,0.7583173
2007-10-01,core,22,static,0.55029327,0.7587143
2007-10-02,core,22,static,0.73205364,0.7062138
2007-10-04,core,22,static,0.8805932,0.78640085
2007-10-05,core,22,static,0.95414627,0.77645576
2007-10-08,core,22,static,0.7031264,0.72427696
2007-10-09,core,22,static,0.8863164,0.7692185
2007-10-10,core,22,static,0.71955174,0.7012012
2007-10-11,core,22,static,0.9430567,0.7684529
2007-10-12,core,22,static,1.0431364,0.93519425
2007-10-15,core,22,static,1.0965738,0.93815476
2007-10-16,core,22,static,1.2687054,1.0616846
2007-10-17,core,22,static,2.190527,1.735242
2007-10-18,core,22,static,1.457985,1.2853248
2007-10-19,core,22,static,1.4555875,1.2060137
2007-10-22,core,22,static,1.6968491,1.1599417
2007-10-23,core,22,static,1.1384182,1.3172355
2007-10-24,core,22,static,2.0703144,1.8910091
2007-10-25,core,22,static,1.6585242,1.3288702
2007-10-26,core,22,static,1.4482919,1.4611048
2007-10-29,core,22,static,1.0666195,0.99266815
2007-10-30,core,22,static,1.2415206,1.1058795
2007-10-31,core,22,static,1.0872763,0.94355905
2007-11-01,core,22,static,1.2955594,1.0629421
2007-11-02,core,22,static,1.2118694,1.0356671
2007-11-05,core,22,static,1.3327944,1.1016321
2007-11-06,core,22,static,0.8215985,1.0119319
2007-11-07,core,22,static,1.1780224,1.1305333
2007-11-08,core,22,static,1.5529814,1.2063664
2007-11-09,core,22,static,1.9720455,1.4371401
2007-11-12,core,22,static,1.654565,1.4147699
2007-11-13,core,22,static,1.8451928,1.5486571
2007-11-14,core,22,static,1.0495719,1.1795808
2007-11-15,core,22,static,1.4030455,1.4310827
2007-11-16,core,22,static,1.318906,1.3504096
2007-11-19,core,22,static,1.3881841,1.3053622
2007-11-20,core,22,static,1.5132523,1.558504
2007-11-21,core,22,static,1.9621775,1.6235014
2007-11-22,core,22,static,2.1563525,1.6895385
2007-11-23,core,22,static,2.3852265,2.134881
2007-11-26,core,22,static,1.2843764,1.705508
2007-11-27,core,22,static,2.5158398,2.1648188
2007-11-28,core,22,static,1.972666,1.933844
2007-11-29,core,22,static,1.0736676,1.0943012
2007-11-30,core,22,static,1.0982945,1.0989523
2007-12-03,core,22,static,1.1432711,1.0800033
2007-12-04,core,22,static,1.0152545,0.9441929
2007-12-05,core,22,static,0.946601,1.076645
2007-12-06,core,22,static,0.9068366,0.9523393
2007-12-07,core,22,static,1.0303735,1.0419133
2007-12-10,core,22,static,1.1731564,1.0233885
2007-12-11,core,22,static,1.1103985,0.9432192
2007-12-12,core,22,static,1.0512801,1.1708955
2007-12-13,core,22,static,1.5374365,1.2030003
2007-12-14,core,22,static,1.1925555,1.3203182
2007-12-17,core,22,static,1.236179,1.2212672
2007-12-18,core,22,static,1.4378381,1.6114681
2007-12-20,core,22,static,1.6452428,1.4696928
2007-12-21,core,22,static,1.4536052,1.4157614
