date,feature_set,L,protocol,RV_target,RV_pred
2014-01-07,core,252,static,0.9929978,0.7061956
2014-01-08,core,252,static,0.55982196,0.8084668
2014-01-09,core,252,static,0.7221481,0.7490212
2014-01-10,core,252,static,0.8308182,0.7188792
2014-01-14,core,252,static,1.1166403,1.1028109
2014-01-15,core,252,static,0.7597656,0.77078104
2014-01-16,core,252,static,0.7385079,0.8435469
2014-01-17,core,252,static,0.9924829,0.7225015
2014-01-20,core,252,static,0.6351576,0.76759076
2014-01-21,core,252,static,0.68236524,0.7080101
2014-01-22,core,252,static,0.90556103,0.8063047
2014-01-23,core,252,static,0.8677156,0.94971645
2014-01-24,core,252,static,0.9876176,0.8807548
2014-01-27,core,252,static,1.0500518,0.880876
2014-01-28,core,252,static,0.8367259,0.7304503
2014-01-29,core,252,static,0.7737801,0.8420649
2014-01-30,core,252,static,1.2759646,1.0423809
2014-01-31,core,252,static,1.1827918,1.2778339
2014-02-03,core,252,static,1.1922182,1.085694
2014-02-04,core,252,static,1.6071959,1.6331125
2014-02-05,core,252,static,1.2378954,1.1427894
2014-02-06,core,252,static,0.9547833,0.9418241
2014-02-07,core,252,static,0.73973215,0.7750645
2014-02-10,core,252,static,0.70442957,0.7662251
2014-02-12,core,252,static,0.6793457,0.66868365
2014-02-13,core,252,static,0.7595481,1.1243844
2014-02-14,core,252,static,1.5592761,1.4032934
2014-02-17,core,252,static,1.0413496,0.9934679
2014-02-18,core,252,static,1.4758527,1.3636883
2014-02-19,core,252,static,0.79908484,0.89321065
2014-02-20,core,252,static,1.1217945,1.2428997
2014-02-21,core,252,static,0.84724355,1.1071336
2014-02-24,core,252,static,1.188368,1.1040385
2014-02-25,core,252,static,0.70223475,0.81373155
2014-02-26,core,252,static,0.8268716,0.8182929
2014-02-27,core,252,static,0.8597349,0.825334
2014-02-28,core,252,static,1.0540922,0.8968286
2014-03-03,core,252,static,1.2059813,1.0405587
2014-03-04,core,252,static,0.7824622,0.9171311
2014-03-05,core,252,static,0.69540536,0.63015807
2014-03-06,core,252,static,0.9321518,1.0808046
2014-03-07,core,252,static,0.70667803,0.79954624
2014-03-10,core,252,static,0.83244985,0.7973007
2014-03-11,core,252,static,0.8417272,0.6743689
2014-03-12,core,252,static,0.77094215,0.93532795
2014-03-13,core,252,static,0.83867455,0.7047061
2014-03-14,core,252,static,1.1113584,1.1785344
2014-03-17,core,252,static,1.1761091,0.8269426
2014-03-18,core,252,static,0.88540554,0.7848959
2014-03-19,core,252,static,1.3912756,1.1829973
2014-03-25,core,252,static,0.9714549,0.96007663
2014-03-26,core,252,static,0.96506923,0.8612273
2014-03-27,core,252,static,1.3056054,1.4171575
2014-03-28,core,252,static,0.89101136,0.9800148
2014-03-31,core,252,static,0.69621205,0.7450826
2014-04-01,core,252,static,0.7554367,0.6847386
2014-04-02,core,252,static,0.8529638,0.7895152
2014-04-03,core,252,static,0.7055742,0.8434249
2014-04-04,core,252,static,0.5401592,0.63643193
2014-04-07,core,252,static,0.6578506,0.70055515
2014-04-08,core,252,static,0.9137992,0.6971563
2014-04-09,core,252,static,1.009909,0.97062886
2014-04-10,core,252,static,0.8897711,1.0324525
2014-04-11,core,252,static,1.0655437,0.91082424
2014-04-14,core,252,static,0.8920437,0.7654149
2014-04-15,core,252,static,0.7417469,0.7171898
2014-04-16,core,252,static,0.9056222,1.0200164
2014-04-17,core,252,static,0.95001894,0.7757363
2014-04-18,core,252,static,0.5880501,0.67157364
2014-04-21,core,252,static,0.68551946,0.6537228
2014-04-22,core,252,static,0.6050715,0.8181366
2014-04-23,core,252,static,0.6681907,0.5198976
2014-04-24,core,252,static,0.7531964,0.79482675
2014-04-25,core,252,static,0.8171542,0.8212509
2014-04-28,core,252,static,0.5202675,0.62671584
2014-04-30,core,252,static,0.7706513,0.58879614
2014-05-01,core,252,static,0.84712476,0.6678545
2014-05-02,core,252,static,0.44685054,0.56662107
2014-05-07,core,252,static,0.68703073,1.0187902
2014-05-08,core,252,static,0.6638346,0.6478114
2014-05-09,core,252,static,0.8249565,0.7077445
2014-05-12,core,252,static,0.64987975,0.60228646
2014-05-13,core,252,static,0.5705969,0.5168314
2014-05-14,core,252,static,0.44689208,0.47679362
2014-05-15,core,252,static,0.64376944,0.55499893
2014-05-16,core,252,static,0.5206161,0.58971465
2014-05-19,core,252,static,0.6803092,0.5877954
2014-05-20,core,252,static,0.55800164,0.49039018
2014-05-21,core,252,static,0.6375392,0.45996267
2014-05-22,core,252,static,0.6842453,0.74625516
2014-05-23,core,252,static,0.44052288,0.5706987
2014-05-26,core,252,static,0.37913492,0.40567172
2014-05-27,core,252,static,0.6434642,0.50246257
2014-05-28,core,252,static,0.6203026,0.49278706
2014-05-29,core,252,static,0.61157197,0.56866086
2014-05-30,core,252,static,0.6328049,0.5828712
2014-06-02,core,252,static,0.6377771,0.6086123
2014-06-03,core,252,static,0.46424276,0.41071013
2014-06-04,core,252,static,0.62038946,0.41054595
2014-06-05,core,252,static,0.42855427,0.5206169
2014-06-06,core,252,static,0.48644966,0.4368295
2014-06-09,core,252,static,0.39111125,0.40236866
2014-06-10,core,252,static,0.62941206,0.6111221
2014-06-11,core,252,static,0.38836092,0.3950602
2014-06-12,core,252,static,0.55599385,0.4618361
2014-06-13,core,252,static,0.6853583,0.78611827
2014-06-16,core,252,static,0.6171051,0.6588708
2014-06-17,core,252,static,0.5108878,0.40253404
2014-06-18,core,252,static,0.5292312,0.48355064
2014-06-19,core,252,static,0.715569,0.67887646
2014-06-20,core,252,static,0.6328794,0.5188569
2014-06-23,core,252,static,0.54107994,0.46466404
2014-06-24,core,252,static,0.6010311,0.54166436
2014-06-25,core,252,static,0.4700113,0.43510783
2014-06-26,core,252,static,0.3968126,0.37141937
2014-06-27,core,252,static,0.84021884,0.76472735
2014-06-30,core,252,static,0.57549506,0.5232591
2014-07-01,core,252,static,0.8379273,0.6703767
2014-07-02,core,252,static,0.3906125,0.47523773
2014-07-03,core,252,static,0.42104033,0.4388067
2014-07-04,core,252,static,0.33971897,0.3762507
2014-07-07,core,252,static,0.37034258,0.36913785
2014-07-08,core,252,static,0.61948246,0.46357295
2014-07-09,core,252,static,0.5096815,0.42950505
2014-07-10,core,252,static,0.40454504,0.43679118
2014-07-11,core,252,static,0.53335774,0.39416978
2014-07-14,core,252,static,0.44155797,0.46707305
2014-07-15,core,252,static,0.4875106,0.35982537
2014-07-16,core,252,static,0.34048226,0.3439419
2014-07-17,core,252,static,0.37393007,0.39514685
2014-07-18,core,252,static,0.5535996,0.43220764
2014-07-22,core,252,static,0.40292332,0.38600057
2014-07-23,core,252,static,0.30114886,0.30320132
2014-07-24,core,252,static,0.52046865,0.44031364
2014-07-25,core,252,static,0.3752552,0.432641
2014-07-28,core,252,static,0.49145386,0.39826775
2014-07-29,core,252,static,0.36667457,0.3252957
2014-07-30,core,252,static,0.41785625,0.29357144
2014-07-31,core,252,static,0.49558058,0.4336223
2014-08-01,core,252,static,0.4799793,0.40520573
2014-08-04,core,252,static,0.44888687,0.36314142
2014-08-05,core,252,static,0.5403825,0.543762
2014-08-06,core,252,static,0.6847517,0.5194628
2014-08-07,core,252,static,0.8375794,0.5949476
2014-08-08,core,252,static,1.195581,1.1009934
2014-08-11,core,252,static,0.67873245,0.7251904
2014-08-12,core,252,static,0.50416714,0.5086
2014-08-13,core,252,static,0.59598273,0.51477486
2014-08-14,core,252,static,0.41829088,0.44713068
2014-08-15,core,252,static,0.30149516,0.37978527
2014-08-18,core,252,static,0.42790744,0.3052549
2014-08-19,core,252,static,0.3051219,0.2789406
2014-08-20,core,252,static,0.30348796,0.27028352
2014-08-21,core,252,static,0.38702157,0.28927115
2014-08-22,core,252,static,0.31535682,0.36928135
2014-08-25,core,252,static,0.38037792,0.288731
2014-08-26,core,252,static,0.31082103,0.3328669
2014-08-27,core,252,static,0.458984,0.3487993
2014-08-28,core,252,static,0.38679838,0.32983097
2014-08-29,core,252,static,0.39064065,0.3495466
2014-09-01,core,252,static,0.22931044,0.25648332
2014-09-02,core,252,static,0.5366238,0.4839682
2014-09-03,core,252,static,0.46095583,0.3859846
2014-09-04,core,252,static,0.40266037,0.35124612
2014-09-05,core,252,static,0.47743714,0.45508754
2014-09-08,core,252,static,0.3796941,0.3382403
2014-09-09,core,252,static,0.34021303,0.29095188
2014-09-10,core,252,static,0.39407885,0.3816066
2014-09-11,core,252,static,0.40020424,0.31517282
2014-09-12,core,252,static,0.5142043,0.36274362
2014-09-16,core,252,static,0.3597271,0.3173669
2014-09-17,core,252,static,0.35162345,0.3089978
2014-09-18,core,252,static,0.36179757,0.36521834
2014-09-19,core,252,static,0.5172682,0.5164588
2014-09-22,core,252,static,0.35834184,0.46319166
2014-09-24,core,252,static,0.5036601,0.36827713
2014-09-25,core,252,static,0.3381999,0.35959935
2014-09-26,core,252,static,0.57338595,0.50504076
2014-09-29,core,252,static,0.4584803,0.39077252
2014-09-30,core,252,static,0.5464531,0.55391705
2014-10-01,core,252,static,0.64316356,0.5041293
2014-10-02,core,252,static,0.76328415,0.94182444
2014-10-03,core,252,static,1.0020511,0.5920097
2014-10-06,core,252,static,0.55427086,0.6417532
2014-10-07,core,252,static,0.61257577,0.5726411
2014-10-08,core,252,static,0.58714724,0.57785314
2014-10-09,core,252,static,0.91856515,0.8288619
2014-10-10,core,252,static,0.74708724,0.6572819
2014-10-14,core,252,static,0.7626068,0.7521838
2014-10-15,core,252,static,0.99067354,0.63487273
2014-10-16,core,252,static,0.98506254,0.7641616
2014-10-17,core,252,static,1.0517386,1.1125892
2014-10-20,core,252,static,0.9073313,1.0055652
2014-10-21,core,252,static,1.0882068,1.2630787
2014-10-22,core,252,static,0.79123354,0.8351395
2014-10-23,core,252,static,0.7146961,0.7742546
2014-10-24,core,252,static,0.7260992,0.6899247
2014-10-27,core,252,static,0.48718125,0.57420856
2014-10-28,core,252,static,0.46595663,0.53904146
2014-10-29,core,252,static,0.6780776,0.65301734
2014-10-30,core,252,static,0.4152505,0.575223
2014-10-31,core,252,static,2.19771,1.8401335
2014-11-04,core,252,static,1.9115504,1.3358772
2014-11-05,core,252,static,1.0005338,1.0309188
2014-11-06,core,252,static,1.248813,1.1230325
2014-11-07,core,252,static,0.5483654,0.8178799
2014-11-10,core,252,static,0.5790799,0.6609739
2014-11-11,core,252,static,0.6575284,0.89360535
2014-11-12,core,252,static,1.0307268,0.8286377
2014-11-13,core,252,static,0.88764495,0.9713885
2014-11-14,core,252,static,0.9472582,0.7918839
2014-11-17,core,252,static,1.0509596,1.5944741
2014-11-18,core,252,static,0.6759118,0.74370205
2014-11-19,core,252,static,0.7302673,0.73574156
2014-11-20,core,252,static,0.56303227,0.6719179
2014-11-21,core,252,static,0.9204502,0.8226825
2014-11-25,core,252,static,0.50027895,0.6172286
2014-11-26,core,252,static,0.3856903,0.49996054
2014-11-27,core,252,static,0.50433457,0.56145257
2014-11-28,core,252,static,0.5068785,0.5498039
2014-12-01,core,252,static,0.6539518,0.5694281
2014-12-02,core,252,static,0.51602525,0.63347936
2014-12-03,core,252,static,0.6252871,0.5765739
2014-12-04,core,252,static,0.5004117,0.5205804
2014-12-05,core,252,static,0.42895722,0.583253
2014-12-08,core,252,static,0.69132453,0.533242
2014-12-09,core,252,static,0.47860804,0.5432728
2014-12-10,core,252,static,0.98193306,1.0130475
2014-12-11,core,252,static,0.926974,0.85253483
2014-12-12,core,252,static,0.8396664,0.78830004
2014-12-15,core,252,static,0.9241034,0.8522038
2014-12-16,core,252,static,0.640895,0.8301512
2014-12-17,core,252,static,0.8817685,0.7358834
2014-12-18,core,252,static,0.65928036,0.65368235
2014-12-19,core,252,static,0.5467008,0.6245702
2014-12-22,core,252,static,0.54934204,0.53931576
2014-12-24,core,252,static,0.3262927,0.45464534
2014-12-25,core,252,static,0.29669535,0.40909088
2014-12-26,core,252,static,0.31702593,0.39163983
2014-12-29,core,252,static,0.988299,0.8293693
2014-12-30,core,252,static,0.67278767,0.86215204
2015-01-05,core,252,static,1.0581647,0.82114816
2015-01-06,core,252,static,0.8368668,0.9853323
2015-01-07,core,252,static,0.79040897,0.67576325
2015-01-08,core,252,static,0.6772492,0.79104054
2015-01-09,core,252,static,0.748735,0.73582566
2015-01-13,core,252,static,0.9260557,0.81087524
2015-01-14,core,252,static,0.8942583,0.96963644
2015-01-15,core,252,static,0.918971,0.8990592
2015-01-16,core,252,static,1.0484915,0.974596
2015-01-19,core,252,static,0.7981591,0.6728531
2015-01-20,core,252,static,0.7273282,0.8697564
